u_id,name,offer_price,original_price,off_now,total_ratings,total_reviews,rating,description,item_link,created_at
SEYTLMU5,Oppo Pad Air 4 GB RAM 64 GB ROM 10.36 inch with Wi-Fi Only Tablet (Grey),16999,29999,43% off,1908,238,4.4,"['4 GB RAM | 64 GB ROM', '26.31 cm (10.36 inch) 2K Display', '8 MP Primary Camera | 8 MP Front', 'Android ColorOS 12.1 | Battery: 7100 mAh', 'Processor: Qualcomm Snapdragon 680', '1 Year Manufacturer Warranty']",https://www.flipkart.com/oppo-pad-air-4-gb-ram-64-rom-10-36-inch-wi-fi-only-tablet-grey/p/itmcebf735c4d688?pid=TABGFHSKP3XHAQ8T&lid=LSTTABGFHSKP3XHAQ8T4YPO2S&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=3f1db3ea-100b-4a67-b6bc-9c114e8e9922.TABGFHSKP3XHAQ8T.SEARCH&ppt=None&ppn=None&ssid=vwp30u1qk00000001667495030196&qH=c4e0ba5422383082,2022-11-03 22:33:40.355868+05:30
OWW4N9FG,Oppo Pad Air 4 GB RAM 128 GB ROM 10.36 inch with Wi-Fi Only Tablet (Grey),19999,34999,42% off,1908,238,4.4,"['4 GB RAM | 128 GB ROM', '26.31 cm (10.36 inch) 2K Display', '8 MP Primary Camera | 8 MP Front', 'Android ColorOS 12.1 | Battery: 7100 mAh', 'Processor: Qualcomm Snapdragon 680', '1 Year Manufacturer Warranty']",https://www.flipkart.com/oppo-pad-air-4-gb-ram-128-rom-10-36-inch-wi-fi-only-tablet-grey/p/itm04f80d975342a?pid=TABGFHSKF8CEQPEY&lid=LSTTABGFHSKF8CEQPEYMWD29A&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=3f1db3ea-100b-4a67-b6bc-9c114e8e9922.TABGFHSKF8CEQPEY.SEARCH&ppt=None&ppn=None&ssid=vwp30u1qk00000001667495030196&qH=c4e0ba5422383082,2022-11-03 22:33:40.519655+05:30
2BE7C106,Redmi Pad 6 GB RAM 128 GB ROM 10.61 Inch with Wi-Fi Only Tablet (Graphite Gray),19999,33999,41% off,503,80,4.4,"['6 GB RAM | 128 GB ROM', '26.95 cm (10.61 Inch) Display', '8 MP Primary Camera | 8 MP Front', 'Android 12 | Battery: 8000 mAh', 'Processor: Octa Core', '1 Year Domestic Warranty']",https://www.flipkart.com/redmi-pad-6-gb-ram-128-rom-10-61-inch-wi-fi-only-tablet-graphite-gray/p/itmae50c5b5b57f2?pid=TABGG9WFUYHGHNGT&lid=LSTTABGG9WFUYHGHNGTEEKDYH&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=3f1db3ea-100b-4a67-b6bc-9c114e8e9922.TABGG9WFUYHGHNGT.SEARCH&ppt=None&ppn=None&ssid=vwp30u1qk00000001667495030196&qH=c4e0ba5422383082,2022-11-03 22:33:40.768365+05:30
A97WTC95,Redmi Pad 4 GB RAM 128 GB ROM 10.61 Inch with Wi-Fi Only Tablet (Graphite Gray),17999,28999,37% off,503,80,4.4,"['4 GB RAM | 128 GB ROM', '26.95 cm (10.61 Inch) Display', '8 MP Primary Camera | 8 MP Front', 'Android 12 | Battery: 8000 mAh', 'Processor: Octa Core', '1 Year Domestic Warranty']",https://www.flipkart.com/redmi-pad-4-gb-ram-128-rom-10-61-inch-wi-fi-only-tablet-graphite-gray/p/itme895076edd975?pid=TABGG9WFZZYKAZXF&lid=LSTTABGG9WFZZYKAZXFIJCWYE&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=3f1db3ea-100b-4a67-b6bc-9c114e8e9922.TABGG9WFZZYKAZXF.SEARCH&ppt=None&ppn=None&ssid=vwp30u1qk00000001667495030196&qH=c4e0ba5422383082,2022-11-03 22:33:40.942858+05:30
KJYUQU9B,Redmi Pad 4 GB RAM 128 GB ROM 10.61 Inch with Wi-Fi Only Tablet (Moonlight Silver),17999,28999,37% off,503,80,4.4,"['4 GB RAM | 128 GB ROM', '26.95 cm (10.61 Inch) Display', '8 MP Primary Camera | 8 MP Front', 'Android 12 | Battery: 8000 mAh', 'Processor: Octa Core', '1 Year Domestic Warranty']",https://www.flipkart.com/redmi-pad-4-gb-ram-128-rom-10-61-inch-wi-fi-only-tablet-moonlight-silver/p/itm5c41900ea36a7?pid=TABGG9WFTJXNDA3Z&lid=LSTTABGG9WFTJXNDA3ZJCQC0T&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=3f1db3ea-100b-4a67-b6bc-9c114e8e9922.TABGG9WFTJXNDA3Z.SEARCH&ppt=None&ppn=None&ssid=vwp30u1qk00000001667495030196&qH=c4e0ba5422383082,2022-11-03 22:33:41.109642+05:30
9F39HUEC,realme Pad X 6 GB RAM 128 GB ROM 11 inch with Wi-Fi+5G Tablet (Glowing Grey),27999,44999,37% off,3263,348,4.4,"['Compatible with realme pencil and smart keyboard', '6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '27.94 cm (11 inch) WUXGA+ Display', '13 MP Primary Camera | 8 MP Front', 'Android 12 | Battery: 8340 mAh Lithium Ion', 'Ideal Usage: Entertainment, Gaming', 'Voice Call (Dual Sim, 5G, LTE, WCDMA, GSM)', 'Processor: Qualcomm Snapdragon 695', '1 Year Domestic Warranty']",https://www.flipkart.com/realme-pad-x-6-gb-ram-128-rom-11-inch-wi-fi-5g-tablet-glowing-grey/p/itm3db350b6c0af2?pid=TABGFW8FTQVFAKMD&lid=LSTTABGFW8FTQVFAKMDYKKIQF&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=3f1db3ea-100b-4a67-b6bc-9c114e8e9922.TABGFW8FTQVFAKMD.SEARCH&ppt=None&ppn=None&ssid=vwp30u1qk00000001667495030196&qH=c4e0ba5422383082,2022-11-03 22:33:41.269606+05:30
ETTF771O,realme Pad X 6 GB RAM 128 GB ROM 11 inch with Wi-Fi+5G Tablet (Glacier Blue),27999,44999,37% off,3263,348,4.4,"['Compatible with realme pencil and smart keyboard', '6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '27.94 cm (11 inch) WUXGA+ Display', '13 MP Primary Camera | 8 MP Front', 'Android 12 | Battery: 8340 mAh Lithium Ion', 'Ideal Usage: Entertainment, Gaming', 'Voice Call (Dual Sim, 5G, LTE, WCDMA, GSM)', 'Processor: Qualcomm Snapdragon 695', '1 Year Domestic Warranty']",https://www.flipkart.com/realme-pad-x-6-gb-ram-128-rom-11-inch-wi-fi-5g-tablet-glacier-blue/p/itm3db350b6c0af2?pid=TABGFW8FPKMBEW2H&lid=LSTTABGFW8FPKMBEW2HPVMMWC&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=3f1db3ea-100b-4a67-b6bc-9c114e8e9922.TABGFW8FPKMBEW2H.SEARCH&ppt=None&ppn=None&ssid=vwp30u1qk00000001667495030196&qH=c4e0ba5422383082,2022-11-03 22:33:41.452481+05:30
VKX7NOZS,SAMSUNG Galaxy Tab S6 Lite With Stylus 4 GB RAM 64 GB ROM 10.4 inch with Wi-Fi Only Tablet (Gray),24999,30999,19% off,10126,838,4.5,"['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '26.42 cm (10.4 inch) Full HD Display', '8 MP Primary Camera | 5 MP Front', 'Android 12 | Battery: 7040 mAh', 'Processor: Qualcomm SDM720G (Octa-Core)', '1 Year Manufacturer Warranty for Tablet and 6 Months Warranty for in the Box Accessories']",https://www.flipkart.com/samsung-galaxy-tab-s6-lite-stylus-4-gb-ram-64-rom-10-4-inch-wi-fi-only-tablet-gray/p/itmb8ced72b7a3e6?pid=TABGF9XMHTPXFPYZ&lid=LSTTABGF9XMHTPXFPYZ9FRC6U&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=3f1db3ea-100b-4a67-b6bc-9c114e8e9922.TABGF9XMHTPXFPYZ.SEARCH&ppt=None&ppn=None&ssid=vwp30u1qk00000001667495030196&qH=c4e0ba5422383082,2022-11-03 22:33:41.653176+05:30
U5RX4I8A,realme Pad 4 GB RAM 64 GB ROM 10.4 inch with Wi-Fi+4G Tablet (Gold),16849,29999,43% off,44194,4830,4.4,"['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '26.42 cm (10.4 inch) WUXGA+ Display', '8 MP Primary Camera | 8 MP Front', 'Android 11 | Battery: 7100 mAh Lithium Ion', 'Ideal Usage: Entertainment, Gaming', 'Voice Call (Dual Sim, GSM)', 'Processor: MediaTek Helio G80', '1 Year Manufacturer Warranty']",https://www.flipkart.com/realme-pad-4-gb-ram-64-rom-10-4-inch-wi-fi-4g-tablet-gold/p/itmd907848549542?pid=TABG6AGQDCHD2HAN&lid=LSTTABG6AGQDCHD2HANUPAQNZ&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=3f1db3ea-100b-4a67-b6bc-9c114e8e9922.TABG6AGQDCHD2HAN.SEARCH&ppt=None&ppn=None&ssid=vwp30u1qk00000001667495030196&qH=c4e0ba5422383082,2022-11-03 22:33:41.806387+05:30
U9FKMK61,realme Pad 4 GB RAM 64 GB ROM 10.4 inch with Wi-Fi+4G Tablet (Grey),16899,29999,43% off,44194,4830,4.4,"['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '26.42 cm (10.4 inch) WUXGA+ Display', '8 MP Primary Camera | 8 MP Front', 'Android 11 | Battery: 7100 mAh Lithium Ion', 'Ideal Usage: Entertainment, Gaming', 'Voice Call (Dual Sim, GSM)', 'Processor: MediaTek Helio G80', '1 Year Manufacturer Warranty']",https://www.flipkart.com/realme-pad-4-gb-ram-64-rom-10-4-inch-wi-fi-4g-tablet-grey/p/itmd907848549542?pid=TABG6AGQ6DVRCMUH&lid=LSTTABG6AGQ6DVRCMUHAZGFS5&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&spotlightTagId=BestsellerId_tyy%2Fhry&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=3f1db3ea-100b-4a67-b6bc-9c114e8e9922.TABG6AGQ6DVRCMUH.SEARCH&ppt=None&ppn=None&ssid=vwp30u1qk00000001667495030196&qH=c4e0ba5422383082,2022-11-03 22:33:42.005032+05:30
9N7OM0RV,SAMSUNG Galaxy Tab A8 3 GB RAM 32 GB ROM 10.5 inch with Wi-Fi Only Tablet (Gray),13999,21599,35% off,3513,339,4.3,"['3 GB RAM | 32 GB ROM | Expandable Upto 1 TB', '26.67 cm (10.5 inch) Full HD Display', '8 MP Primary Camera', 'Android 11 | Battery: 7040 mAh', 'Processor: Octa-Core', '1 year manufacturer warranty for Tablet and 6 months warranty for in the box accessories']",https://www.flipkart.com/samsung-galaxy-tab-a8-3-gb-ram-32-rom-10-5-inch-wi-fi-only-tablet-gray/p/itm419ba8446168a?pid=TABGC85BZAPDKZYP&lid=LSTTABGC85BZAPDKZYPLOH0D4&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=3f1db3ea-100b-4a67-b6bc-9c114e8e9922.TABGC85BZAPDKZYP.SEARCH&ppt=None&ppn=None&ssid=vwp30u1qk00000001667495030196&qH=c4e0ba5422383082,2022-11-03 22:33:42.173259+05:30
V72CGWE3,realme Pad X 4 GB RAM 64 GB ROM 11 inch with Wi-Fi Only Tablet (Glacier Blue),19999,29999,33% off,3263,348,4.4,"['Compatible with realme pencil and smart keyboard', '4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '27.94 cm (11 inch) WUXGA+ Display', '13 MP Primary Camera | 8 MP Front', 'Android 12 | Battery: 8340 mAh Lithium Ion', 'Ideal Usage: Entertainment, Gaming', 'Processor: Qualcomm Snapdragon 695', '1 Year Domestic Warranty']",https://www.flipkart.com/realme-pad-x-4-gb-ram-64-rom-11-inch-wi-fi-only-tablet-glacier-blue/p/itm5dfddfb05eb01?pid=TABGFW8F7XSWVFNT&lid=LSTTABGFW8F7XSWVFNTERUOOP&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=3f1db3ea-100b-4a67-b6bc-9c114e8e9922.TABGFW8F7XSWVFNT.SEARCH&ppt=None&ppn=None&ssid=vwp30u1qk00000001667495030196&qH=c4e0ba5422383082,2022-11-03 22:33:42.328679+05:30
J8IKHIYJ,realme Pad Mini 4 GB RAM 64 GB ROM 8.7 inch with Wi-Fi+4G Tablet (Grey),14999,23999,37% off,4970,484,4.3,"['18W Fast Charging | Battery: 6400 mAH', '4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '22.1 cm (8.7 inch) HD Display', '8 MP Primary Camera', 'Android 11 | Battery: 6400 mAh Lithium Ion', 'Ideal Usage: Entertainment', 'Voice Call (Dual Sim, GSM, WCDMA, LTE FDD, TD-LTE)', 'Processor: UNISOC T616 Octa-Core', '1 Year Domestic Warranty']",https://www.flipkart.com/realme-pad-mini-4-gb-ram-64-rom-8-7-inch-wi-fi-4g-tablet-grey/p/itm4e836073b0695?pid=TABGD7GFNYPWDRWD&lid=LSTTABGD7GFNYPWDRWDQPHVBA&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=3f1db3ea-100b-4a67-b6bc-9c114e8e9922.TABGD7GFNYPWDRWD.SEARCH&ppt=None&ppn=None&ssid=vwp30u1qk00000001667495030196&qH=c4e0ba5422383082,2022-11-03 22:33:42.523617+05:30
4P5Q47SB,realme Pad Mini 4 GB RAM 64 GB ROM 8.7 inch with Wi-Fi+4G Tablet (Blue),14999,23999,37% off,4970,484,4.3,"['18W Fast Charging | Battery: 6400 mAH', '4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '22.1 cm (8.7 inch) HD Display', '8 MP Primary Camera | 5 MP Front', 'Android 11 | Battery: 6400 mAh Lithium Ion', 'Ideal Usage: Entertainment', 'Voice Call (Dual Sim, GSM, WCDMA, LTE FDD, TD-LTE)', 'Processor: UNISOC T616 Octa-Core', '1 Year Domestic Warranty']",https://www.flipkart.com/realme-pad-mini-4-gb-ram-64-rom-8-7-inch-wi-fi-4g-tablet-blue/p/itm4e836073b0695?pid=TABGD7GFHZZJKVMQ&lid=LSTTABGD7GFHZZJKVMQJDXH8A&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=3f1db3ea-100b-4a67-b6bc-9c114e8e9922.TABGD7GFHZZJKVMQ.SEARCH&ppt=None&ppn=None&ssid=vwp30u1qk00000001667495030196&qH=c4e0ba5422383082,2022-11-03 22:33:42.637178+05:30
UWXIYHQQ,APPLE iPad (9th Gen) 64 GB ROM 10.2 inch with Wi-Fi Only (Space Grey),30900,30900,0,10196,939,4.6,"['64 GB ROM', '25.91 cm (10.2 inch) Display', '8 MP Primary Camera | 12 MP Front', 'iOS 15 | Battery: Lithium Polymer', 'Processor: A13 Bionic Chip with 64-bit Architecture', '1 Year Warranty']",https://www.flipkart.com/apple-ipad-9th-gen-64-gb-rom-10-2-inch-wi-fi-only-space-grey/p/itmd7d2c4840fa04?pid=TABG6VNCHTRZGN9N&lid=LSTTABG6VNCHTRZGN9NIK0OLT&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=3f1db3ea-100b-4a67-b6bc-9c114e8e9922.TABG6VNCHTRZGN9N.SEARCH&ppt=None&ppn=None&ssid=vwp30u1qk00000001667495030196&qH=c4e0ba5422383082,2022-11-03 22:33:42.741007+05:30
RVCVFUPK,SAMSUNG Galaxy Tab S7+ With Stylus 6 GB RAM 128 GB ROM 12.4 inch with Wi-Fi Only Tablet (Mystic Black),51999,76999,32% off,3220,344,4.6,"['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '31.5 cm (12.4 inch) Quad HD Display', '13 MP Primary Camera | 8 MP Front', 'Android 10 | Battery: 10090 mAh', 'Processor: Qualcomm Snapdragon 865 Plus', '1 Year Warranty Provided by the Manufacturer from Date of Purchase']",https://www.flipkart.com/samsung-galaxy-tab-s7-stylus-6-gb-ram-128-rom-12-4-inch-wi-fi-only-tablet-mystic-black/p/itm80b9d6447fa7c?pid=TABFXMJEH5QEFKG6&lid=LSTTABFXMJEH5QEFKG6J3DXJJ&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=3f1db3ea-100b-4a67-b6bc-9c114e8e9922.TABFXMJEH5QEFKG6.SEARCH&ppt=None&ppn=None&ssid=vwp30u1qk00000001667495030196&qH=c4e0ba5422383082,2022-11-03 22:33:42.855118+05:30
7366UQ0Y,MOTOROLA Tab G62 LTE 4 GB RAM 64 GB ROM 10.61 inch with Wi-Fi+4G Tablet (Frost Blue),17999,34000,47% off,665,81,4.1,"['4 GB RAM | 64 GB ROM', '26.95 cm (10.61 inch) 2K Display', '8 MP Primary Camera | 8 MP Front', 'Android 12 | Battery: 7700 mAh', 'Ideal Usage: Entertainment', 'Voice Call (Single Sim, GSM, LTE, VoLTE)', 'Processor: Snapdragon SDM680', '1 Year On Tab Device And 6 Months On Battery And Accessories']",https://www.flipkart.com/motorola-tab-g62-lte-4-gb-ram-64-rom-10-61-inch-wi-fi-4g-tablet-frost-blue/p/itm760b6bd7b1dd4?pid=TABGEGBWRYZ4YGWN&lid=LSTTABGEGBWRYZ4YGWNPSOUGY&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=3f1db3ea-100b-4a67-b6bc-9c114e8e9922.TABGEGBWRYZ4YGWN.SEARCH&ppt=None&ppn=None&ssid=vwp30u1qk00000001667495030196&qH=c4e0ba5422383082,2022-11-03 22:33:42.959475+05:30
V32XUMGP,SAMSUNG Galaxy Tab A7 Lite 3 GB RAM 32 GB ROM 8.7 inches with Wi-Fi+4G Tablet (Grey),12999,17500,25% off,2994,251,4.3,"['3 GB RAM | 32 GB ROM | Expandable Upto 1 TB', '22.1 cm (8.7 inches) Full HD Display', '8 MP Primary Camera | 2 MP Front', 'Android 11 | Battery: 5100 mAh', 'Voice Call (Single Sim)', 'Processor: MediaTek_MT8768T', '1 Year Manufacturer Warranty for Tablet and 6 Months Warranty for in the Box Accessories']",https://www.flipkart.com/samsung-galaxy-tab-a7-lite-3-gb-ram-32-rom-8-7-inches-wi-fi-4g-tablet-grey/p/itm0400e14d808bd?pid=TABG3WWRAYHANVVD&lid=LSTTABG3WWRAYHANVVDKNZKPE&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=3f1db3ea-100b-4a67-b6bc-9c114e8e9922.TABG3WWRAYHANVVD.SEARCH&ppt=None&ppn=None&ssid=vwp30u1qk00000001667495030196&qH=c4e0ba5422383082,2022-11-03 22:33:43.115397+05:30
QT0AN71N,MOTOROLA tab g70 LTE 6 GB RAM 128 GB ROM 11 inch with Wi-Fi+4G Tablet (Modernist Teal),24999,39000,35% off,3700,454,4.3,"['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '27.94 cm (11 inch) 2K Display', '13 MP Primary Camera', 'Android 11 | Battery: 7700 mAh Li-Po', 'Ideal Usage: Business, Reading and Browsing', 'Voice Call (Single Sim, GSM, LTE, VoLTE)', 'Processor: MediaTek Helio G90T Octa-Core', '1 Year on Tab device and 6 months on battery and accessories']",https://www.flipkart.com/motorola-tab-g70-lte-6-gb-ram-128-rom-11-inch-wi-fi-4g-tablet-modernist-teal/p/itm11ab4840eb5d4?pid=TABGCB9FWEH6MZDG&lid=LSTTABGCB9FWEH6MZDGTKZTAC&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=3f1db3ea-100b-4a67-b6bc-9c114e8e9922.TABGCB9FWEH6MZDG.SEARCH&ppt=None&ppn=None&ssid=vwp30u1qk00000001667495030196&qH=c4e0ba5422383082,2022-11-03 22:33:43.228226+05:30
AEVA7QJI,APPLE iPad (10th Gen) 64 GB ROM 10.9 inch with Wi-Fi Only (Pink),44900,44900,0,0,0,0,"['64 GB ROM', '27.69 cm (10.9 inch) Full HD Display', '12 MP Primary Camera | 12 MP Front', 'iPadOS 16 | Battery: Lithium Polymer', 'Processor: A14 Bionic Chip (64-bit Architecture) with Neural Engine', '1 Year Limited Hardware Warranty']",https://www.flipkart.com/apple-ipad-10th-gen-64-gb-rom-10-9-inch-wi-fi-only-pink/p/itmaf20456d05879?pid=TABGJ6XUSFTPNTKH&lid=LSTTABGJ6XUSFTPNTKHITLWPF&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=3f1db3ea-100b-4a67-b6bc-9c114e8e9922.TABGJ6XUSFTPNTKH.SEARCH&ppt=None&ppn=None&ssid=vwp30u1qk00000001667495030196&qH=c4e0ba5422383082,2022-11-03 22:33:43.357369+05:30
ENELWWBZ,realme Pad Mini 3 GB RAM 32 GB ROM 8.7 inch with Wi-Fi+4G Tablet (Blue),12999,21999,40% off,4970,484,4.3,"['18W Fast Charging | Battery: 6400 mAH', '3 GB RAM | 32 GB ROM | Expandable Upto 1 TB', '22.1 cm (8.7 inch) HD Display', '8 MP Primary Camera | 5 MP Front', 'Android 11 | Battery: 6400 mAh Lithium Ion', 'Ideal Usage: Entertainment', 'Voice Call (Dual Sim, GSM, WCDMA, LTE FDD, TD-LTE)', 'Processor: UNISOC T616 Octa-Core', '1 Year Domestic Warranty']",https://www.flipkart.com/realme-pad-mini-3-gb-ram-32-rom-8-7-inch-wi-fi-4g-tablet-blue/p/itm0796030d43c4a?pid=TABGD7GFYYZBYMJR&lid=LSTTABGD7GFYYZBYMJR9DPZQ8&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=3f1db3ea-100b-4a67-b6bc-9c114e8e9922.TABGD7GFYYZBYMJR.SEARCH&ppt=None&ppn=None&ssid=vwp30u1qk00000001667495030196&qH=c4e0ba5422383082,2022-11-03 22:33:43.461675+05:30
2XLVLVNJ,Lenovo Tab K10 FHD 4 GB RAM 64 GB ROM 10.3 inches with Wi-Fi+4G Tablet (Abyss Blue),17999,32000,43% off,1467,138,4.3,"['4 GB RAM | 64 GB ROM | Expandable Upto 256 GB', '26.16 cm (10.3 inches) Display', '8 MP Primary Camera | 5 MP Front', 'Android 11 | Battery: 7500 mAH', 'Voice Call (Single Sim, 4G LTE)', 'Processor: Mediatek Helio P22T Octa Core', '1 year warranty']",https://www.flipkart.com/lenovo-tab-k10-fhd-4-gb-ram-64-rom-10-3-inches-wi-fi-4g-tablet-abyss-blue/p/itm78c4e8fb3a257?pid=TABG72FWJ3XYYQJ9&lid=LSTTABG72FWJ3XYYQJ9QDDVU7&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=3f1db3ea-100b-4a67-b6bc-9c114e8e9922.TABG72FWJ3XYYQJ9.SEARCH&ppt=None&ppn=None&ssid=vwp30u1qk00000001667495030196&qH=c4e0ba5422383082,2022-11-03 22:33:43.568860+05:30
8WZM6FSG,SAMSUNG Galaxy Tab S6 Lite With Stylus 4 GB RAM 64 GB ROM 10.4 inch with Wi-Fi+4G Tablet (Blue),29999,35999,16% off,10126,838,4.5,"['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '26.42 cm (10.4 inch) Full HD Display', '8 MP Primary Camera | 5 MP Front', 'Android 12 | Battery: 7040 mAh', 'Processor: Qualcomm SDM720G (Octa-Core)', '1 Year Manufacturer Warranty for Tablet and 6 Months Warranty for in the Box Accessories']",https://www.flipkart.com/samsung-galaxy-tab-s6-lite-stylus-4-gb-ram-64-rom-10-4-inch-wi-fi-4g-tablet-blue/p/itm3bed66f775d03?pid=TABGF9XMNRP9Y3EZ&lid=LSTTABGF9XMNRP9Y3EZ7NAWVM&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=3f1db3ea-100b-4a67-b6bc-9c114e8e9922.TABGF9XMNRP9Y3EZ.SEARCH&ppt=None&ppn=None&ssid=vwp30u1qk00000001667495030196&qH=c4e0ba5422383082,2022-11-03 22:33:43.682707+05:30
BGN3WQ0U,I Kall N7 PRO 2 GB RAM 16 GB ROM 7 inch with Wi-Fi Only Tablet (White),3599,4999,28% off,81,6,2.9,"['2 GB RAM | 16 GB ROM', '17.78 cm (7 inch) Display', '2 MP Primary Camera', 'Android 6.0 | Battery: 3000 mAh', 'Voice Call (No Sim)', '1 Year Warranty Against Manufacturing Defects']",https://www.flipkart.com/kall-n7-pro-2-gb-ram-16-rom-7-inch-wi-fi-only-tablet-white/p/itm7c2fa99cc5fcc?pid=TABGDKT6AH8A3AJF&lid=LSTTABGDKT6AH8A3AJFPIWXXZ&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=3f1db3ea-100b-4a67-b6bc-9c114e8e9922.TABGDKT6AH8A3AJF.SEARCH&ppt=None&ppn=None&ssid=vwp30u1qk00000001667495030196&qH=c4e0ba5422383082,2022-11-03 22:33:43.788674+05:30
TA2F3ZI1,SAMSUNG Galaxy Tab S8+ With Stylus 8 GB RAM 128 GB ROM 12.4 inch with Wi-Fi Only Tablet (Graphite),66999,85999,22% off,160,10,4.7,"['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '31.5 cm (12.4 inch) Full HD Display', '13 MP Primary Camera | 12 MP Front', 'Android 12 | Battery: 10090 mAh', 'Voice Call (No Sim)', 'Processor: Octa-Core', '1 Year Manufacturer Warranty for Tablet and 6 Months Warranty for in the Box Accessories']",https://www.flipkart.com/samsung-galaxy-tab-s8-stylus-8-gb-ram-128-rom-12-4-inch-wi-fi-only-tablet-graphite/p/itmb68cdecbe1a4d?pid=TABGBNNNKMCHQUBD&lid=LSTTABGBNNNKMCHQUBDB0MNNN&marketplace=FLIPKART&q=tablet&store=tyy%2Fhry&srno=s_2_25&otracker=search&otracker1=search&fm=organic&iid=38a625a5-f8ba-4898-aeec-98af19222703.TABGBNNNKMCHQUBD.SEARCH&ppt=None&ppn=None&ssid=ntmn37ymdc0000001667495034495&qH=c4e0ba5422383082,2022-11-03 22:33:44.717181+05:30
